TGT,BNS,RIO,ESRX,KMB,EPD,STO,CNI,ORAN,GM,CRM,HRL,PUK,HDB,SO,PSA,ADBE,GD,PSX,COP,EXCU,BBVA,MON,BCS,CHA,CUK,AMT,ABB,ASML,KR,BK,INFY,LVS,SU,CCL,AET,SMFG,FDX,ITUB,CB,SYT,SYK,AVGO,RTN,BHP,CI,RBS,MCK,BMO,COF,NOC,LYB,CTSH,ITW,SCHW,EMR,SHPG,LBTYA,LILAK,CME,ENB,BX,LBTYK,ERIC,ECL,BAM,KEP,YHOO,BBDO,EXC,VLO,CCI,LILA,ICE,STZ,EBAY,TRI,PCG,WPPGY,VFC,BSBR,HAL,CHU,WIT,EQR,IMO,LUV,BBD,SNE,LBTYB,MFC,HUM,K,CM,BXLT,TRP,PHI,AON,FMS
KKD,KUTV,KLIC,KURA,KVHI,LB,LLL,DRIO,LG,LTS^A,LSBK,LBAI,LAKE,LDR,LE,LSTR,LNTH,LTRX,LPSB,LPI,LHO^H,LHO^I,LAQ,LDF,LAWS,LOR,LEE,LTXB,DDBI,EDBI,LVHD,UDBI,LM,LEG,CVB,JBK,KCC,KTH,KTN,KTP,XKE,LDOS,LMAT,TREE,LEN.B,LII,LVLT,LXRX,LXP^C,LXK,LPL,LGIH,LGL,LBY,ASG,TAX,LTRPA,LTRPB,LOCK,LPNT,LCUT,LWAY,LITB,LPTH,LLEX,LLNW,LECO,LNC.WS,LINDW,LNCO,LINE,LBIO,LIOX,LIQT,LQDT,LAD,LFUS,LYV,LOB,LPSN,LMFA,LMFAW,LMIA,LOGM,EVAR,CNCR,LORL,LOW,LOXO,LPTN,LTC,LUB,LEI,LL,LXFT,LUX,LDL,MTB.WS,MTB^
MDC,MTSI,MHO,MHO^A,MGNX,MCN,MGLN,MGA,MGYR,MH^A,MH^C,MHLD,MHLDO,MHNA,MHNB,MHNC,MSCA,MSFG,MBUU,MLVF,MAMS,HYF,MANH,LOAN,MNTX,MTW,MTW$,MFS$,MTEX,MN,MAPI,MARA,MCHX,MMI,HZO,MRNS,GNRX,MKTX,MKTO,MBII,MMC,MRTN,MLM,MSTX,MTZ,MHH,MTCH,MATX,MAT,MTSN,MLP,MXIM,MMS,MXL,MXPT,MXWL,MBI,MCFT,MKC,MKC.V,MDR,MHFI,MDU,MTL^,MDGN,MDGN.WS,MEG,MPW,MTBC,MTBCP,MNOV,MDSO,MDVN,MCQ,MCV,MCX,MD,MDVXW,MEET,MEIP,MLNX,MELR,MELI,MBVT,MRK,EBSB,MMSI,MTOR,IPB,MER^K,MER^M,MER^P,PIY,MACK,MLAB,CASH,MBLX,MEI,MET
MTD,MXE,MXF,MFA,MFA^B,MFO,MFRI,MGPI,MU,MICT,MICTW,MVIS,MAA,MEP,MCEP,MOFG,MLSS,MLR,HIE,MDXG,MB,NERV,MGN,MRTX,MIRN,MSON,MP^D,MIND,MITK,MFG,MKSI,MMAC,MINI,MOBL,MOCO,MODN,MLNK,MHK,MOLG,TAP.A,MNTA,MCRI,MNRK,MDLZ,MGI,MNR^A,MNR^B,MORE,MPWR,MNRO,MWW,MOG.A,MOG.B,MS^A,MS^E,MS^F,MS^G,MS^I,MSK,MWG,MWO,MWR,APF,MSD,EDD,MSF,IIF,MORN,MOSY,MPAA,MSI,MRVC,ICB,HJV,MSM,MLI,MFLX,MVF,MZA,MVC,MVCB,MYE,MYOK,MYRG,MYGN,NC,NSPH,NSTG,NNVC,NK,NSSC,NDAQ,NTRA,NATH,NAUH,NKSH,NCMI,NGHCO,NGHCZ
NHI,NOV,NPBC,NPK,NNN^D,NNN^E,NSEC,NWLI,NW^C,NAII,NGS,NGVC,NATR,NTZ,NLS,NAVB,NCI,NM^G,NM^H,NAV^D,NBCP,NCS,NCIT,NP,NNI,NEO,NEOS,NEOT,NRX,UEPS,NETE,NTAP,NTES,NFLX,NTGR,NLST,NTCT,NTIP,NRO,CUR,NBIX,NURO,NUROW,NSIG,NSR,UWN,HYB,GBR,GF,IRL,EDU,NEWR,NWY,NYCB,NYCB^U,NYMT,NYMTO,NYMTP,NYRT,NCT^B,NCT^C,NCT^D,NR,NEWS,NEWTZ,NHF,NXRT,NXST,NEP,NEE,NEE^C,NEE^G,NEE^H,NEE^I,NEE^J,NEE^P,NEE^Q,NMK^B,NMK^C,NICK,NIHD,NKE,NMBL,NI,NVLS,NL,NNBR,NORD,NORT,JWN,NOA,NAK,NOG,NFBK,NSAM,NRF^A,NRF^B,NRF^C,NRF^D
NWBI,NWBO,NWBOW,NVFY,NBY,MIFI,NVAX,NRG,NYLD,NYLD.A,NTN,DCM,NUS,NUAN,NSH,NSS,NUVA,JMLP,NCA,DIAX,JGH,JHA,JHY,NQM,NHA,NMA,NMI,NMO,NIO,NNY,NQP,NPP,NPF,NPM,NPT,NPI,NQU,NQI,NQS,NVEE,NVR,NXTM,NXTDW,OAK,OBCI,OPTT,OII,OCRX,OCLR,OCUL,OCLS,OCLSW,OMEX,ODP,OFG^A,OFG^B,OFG^D,OHRP,OIBR.C,OIS,ODFL,OLBK,OSBC,OSBCP,OLLI,ZEUS,OFLX,OHI,OMCL,ASGN,ONDK,OMED,ONTX,OGS,OHGI,OLP,OB,OMF,OKS,OKE,ONVI,OOMA,OPXA,OPXAW,OPGN,OPGNW,OPWR,OPY,OPHC,OGEN,OSUR,OA,ORC,ORLY,OREX,ONVO,ONP,OESX,ORA
OSIR,OSN,OTG,OTIC,OSG,OSGB,OSTK,OMI,ORM,OI,OXBRW,OXM,OXLCO,OXGN,PFIN,PTSI,PACEU,PACEW,PHF,PAI,PACB,PEIX,PCG^A,PCG^B,PCG^C,PCG^D,PCG^E,PCG^G,PCG^H,PCG^I,PAACR,PAACU,PAACW,PSUN,PCRX,PTN,PANW,P,PZZA,FRSH,PARR,PRGNL,PGRE,PRTK,PCYG,PKBK,PRKR,PKY,PE,PRE^D,PRE^E,PRE^F,PBHC,PATK,PN,PATI,PDCO,PTEN,PAYX,PAYC,PYDS,PYPL,PBBI,PCCC,PCMI,PCTI,PDCE,PDFS,PDLI,PDVW,SKIS,PSO,PEB^A.CL,PEB^B,PEB^C,PENN,PNTA,PWOD,PEI^A,PEI^B,PTXP,PFSI,PAG,PEN,PEBK,PBCT,POM,PEP,PRCP,PRFT,PERF,PKI,PESI,PTX,PETS,PBR.A,PFE,PFSW,PGTI
PHII,PHIIK,PFX,PNX,PHMD,PLAB,PNY,PDM,PIR,PIRS,PCM,RCS,PNK,PNFP,PF,PPSI,PBI^B,PXLW,PAA,PAGP,PLNT,PLPM,PLT,PLUG,PSTI,PLXP,PGEM,PMV,PNC,PNC.WS,PNC^P,PNC^Q,PNM,PBSK,PCOM,PLCM,PLKI,BPOP,BPOPM,BPOPN,PBIB,PTLA,POST,PPS,PPS^A,POWL,POWI,PW^A,PSIX,POWR,PDBC,DWTR,IDLB,QQQ,USLB,PPG,PPX,PYS,PYT,PRAA,PRAH,PX,APTS,PJS,PFBI,PINC,PGND,PBH,PVG,PRGX,PSMT,PRI,PRZM,PVTB,PVTBP,PVTD,PDEX,IPDN,PFIE,PLD,DNAI,PFPT,PRPH,PRO,PBB,PB,PLX,PL^C,PL^E,PRTO,PTI,PRLB,PVCT,PVCT.WS,PVBC,PROV,PFS,PBIP,PFK
PRH,PRU,GHY,PUK^,PUK^A,ISD,PSB,PSB^S,PSB^T,PSB^U,PSB^V,TLK,PTCT,PSA^A,PSA^B,PSA^Q,PSA^R,PSA^S,PSA^T,PSA^U,PSA^V,PSA^W,PSA^X,PSA^Y,PSA^Z,PULM,PHM,QTWO,QCRH,QEP,QKLS,QRVO,QTS,QUAD,QSII,QLYS,PWR,QTWW,QPACU,QPACW,QNST,CTAA,CTQ,CTU,CTV,CTW,CTY,CTZ,RAX,RLGT,RLGT^A,ROIA,ROIAK,RDUS,RDNT,RAS^A,RAS^B,RAS^C,RFT,RFTA,RMBS,RPT^D,RLOG,RPD,RAVE,RAVN,RJD,RJF,RICK,RCMT,RMAX,RLOC,RGSE,RELY,RNWK,RP,O^F,UTES,UK,RCON,REPH,RHT,RRGB,RWT,REED,REG^F,REG^G,REGN,TAPR,TVIZ,RF^A,RF^B,RGA,RZA,REIS,RELV,RLYP,MARK,RNR^C
REGI,RCG,RNVA,RNVAW,RNF,RTK,RJET,RBCAA,FRBK,RSG,RSAS,REXI,RSO^A,RSO^B,RSO^C,RECN,RPAI,RPAI^A,SALE,RVP,RTRX,RVNC,REV,RBIO,RVLT,RNN,REXR,RFIL,RIBTW,RELL,RIC,RIGL,NAME,RNET,REI,RNG,RITTW,RTTR,RMI,RIV,RLJE,RRTS,ROK,COL,RMTI,RCKY,RMCF,RSTI,RCI,ROKA,ROL,ROP,RRMS,ROST,RSE,RBPAA,RY^S,RY^T,RBS^E,RBS^F,RBS^G,RBS^H,RBS^I,RBS^L,RBS^R,RBS^S,RBS^T,RDS.A,RDS.B,RGLD,RGT,RMT,RVT,RES,RSPP,RTIX,RBCN,RT,RKUS,RTEC,RUSHA,RUSHB,RUTH,R,RHP,STBA,SANW,SBRA,SBRAP,SAEX,SB,SB^B,SB^C,SB^D,SFE,SAFT,SGA,SAGE,SGNT
SAJA,SALM,SAL,SBH,SAFM,SASR,SGMO,GCVRZ,SOV^C,SAQ,SRPT,BFS,BFS^C,SBFG,SBFGP,SCSC,SMIT,SCHN,SWM,SCLN,SQI,SLTB,SBNA,SBNB,SNI,LBF,SCYX,SA,SEAC,CKH,SHLDW,SHOS,SSW^C,SSW^D,SSW^E,SSWN,SGEN,SEAS,EYES,JBN,JBR,SLCT,SGZA,SIGI,SMLR,SNHN,SNHO,SNMX,SQNM,SQBG,MCRB,SERV,NOW,SREV,SFBS,SVT,SEV,SGOC,SHAK,SHSP,SHLX,SHLO,SCCI,SCVL,SHOR,SFLY,SSTK,SIFI,SIEN,SWIR,SIF,SIGM,SGMA,SGNL,SBNYW,SLAB,SPIL,SRAQU,SSNI,SPG,SPG^J,SSD,SLP,SBGI,SINO,SHI,SVA,SIRO,SRVA,SITO,SKM,SKX,SKUL,SKYS,SKLNU,SPU,SKYW,SWKS,SLG^I
ISM,JSM,OSM,SMBK,SNN,SMSI,LNCE,SLRA,SLTD,SEDG,SZYM,SLH,SAH,SOFO,SONS,SPHS,SORL,SRNE,SOHOL,SOHOM,SFBC,SOR,SJI,SXE,SCE^B,SCE^C,SCE^D,SCE^E,SCE^F,SCE^G,SCE^H,SCE^J,SOJA,SFST,SMBC,SONA,SBSI,OKSB,SWNC,SSS,SPAN,SBSA,SGRP,SPKE,LOV,ONCE,SPAR,SPTN,SEP,SPB ,SPPI,TRK,SPI,SPR,SAVE,SRC,SPOK,SPWH,FUND,SFM,SPSC,FLOW,SQ,SSNC,STJ,STAF,STAG,STAG^A,STAG^B,SSI,SFG,SMP,SWH,SWJ,SWK,STLY,SPLS,SBLKL,SGU,SRT,HOT,STWD,SNC,STT^C,STT^D,STT^E,GASS,STLD,SMRT,SBOT,SCQ,STEM,STML,STXS,SRCL,SRCLP,SHOO,SYBT,SRI
SSYS,SGL,STRS,STRA,STRM,RGR,SPH,SCMP,SUMR,SMMF,INN,INN^A,INN^B,INN^C,SUM,SMLP,SNBC,SUI,SUI^A,SXCP,SXC,SNDE,SUNE,SNSS,SSY,STKL,SPWR,SBCP,SHO,SHO^D,STI,STI.WS.A,STI.WS.B,STI^A,STI^E,SMCI,SPCB,SDPI,SPN,SUP,SGC,SUPN,SPRT,STS,SGRY,SCAI,SRDX,TOR,SIVBO,SWZ,SYKE,SYNC,SNCR,SNDX,SGYP,SGYPU,SGYPW,SNPS,SNV^C,SYNT,SYMX,SYN,GJH,GJO,GJS,GJP,GJR,GJT,GJV,SYUT,SYPR,TROW,TTOO,DATA,TAHO,TLRD,TWN,TTWO,TAL,TEGP,TEP,TLMR,TNDM,TLF,SKT,TNGO,TEDU,NGLS^A,TRGP,TASR,TCO,TCO^J,TCO^K,TAYD,TCP,TCB.WS,TCB^B,TCB^C,TSI
TISI,TTGT,TE,TOO^A,TOO^B,THQ,THW,TDOC,TI.A,TNAV,TDA,TDE,TDI,TDJ,TDS,TTEC,TLGT,TDF,TEI,GIM,TPX,TENX,TGC,TVC,TVE,TER,TNH,GLBL,TERP,TRTLW,TRNO^A,TSRO,TSLA,TSRA,TTEK,TTI,TTPH,TCBI,TCBIL,TCBIP,TCBIW,TXRH,TGTX,TTF,AES^C,ANDE,TBBK,BONT,SCHW^B,SCHW^C,CHEF,SRV,DXYN,ENSG,FINL,FBMS,TFM,GLU^A,GRX^A,GRX^B,GDL^B,HABT,HCKT,HAIN,THG,THGA,CUBA,MIK,NAVG,STKS,BITE,RUBI,TRV,ULTI,TXMD,TBPH,THR,TST,TSLF,TCRD,TCRX,TCRZ,THO,THLD,TPI,TIER,TTS,TLYS,TSBK,TWI,TTNP,TJX,TMUS,TMUSP,TBRA,TKAI,TR,TISA,TRCH
NDP,TYG^B.CL,NTG,TTP,TPZ,TSS,TOT,TOWR,CLUB,TSQ,TSLX,TCON,TRNS,TCI,TRXC,TBIO,TTHI,TANN,TANO,TANP,TRR,THS,TRMR,TRVN,TREX,TY^,TPH,TCCA,TCCB,TNET,TRN,TRIP,TPVZ,TSC,TBK,TGI,TROV,TROVU,TROVW,TBI,TRUE,THST,TRUP,TNP^B,TNP^C,TNP^D,TSRI,TTMI,TUBE,TUMI,TKF,FOX,FOXA,TWIN,TWTR,TYL,TSN,TSNU,USCR,PRTS,USB^A,USB^H,USB^M,USB^N,USB^O,GROW,USPH,UREE,SLCA,UBIC,UBNT,UBS^D,UCP,UFPT,ULTA,UCTT,UTEK,UMH,UMH^A,UMH^B,UA,UFI,UNB,UNXL,UFAB,UBCP,UBOH,UBSI,UCBI,UAL,UDR,UBNK,UFCS,UNFI,UNTD,UPS,URI,USBI,UZA
UZC,USLM,UG,UNTY,UFPI,UHS,UUU,USAP,UACL,UPIP,UPLD,URRE,URBN,UBP^F,UBP^G,ECOL,USAC,USAT,USATP,USAK,USNA,BIF,USMD,UTMD,MTN,VALE.P,VRX,VHI,VR,VLY.WS,VLY^A,VMI,VALU,VNRAP,VNRCP,VNTV,VAR,VRNS,VDSI,VASC,VEC,APPY,VTRB,VTR,VRA,VCYT,VSTM,VER^F,PAY,VRSN,VRSK,VBTX,VZA,VRML,VSR,VSAR,VTNR,VRTB,VSAT,VII,CIZ,CID,CIL,CDL,CSB,VIDI,VKTX,VLGEA,VMEM,VIRT,VSCP,VRTS,VSH,VPG,VISN,VTAE,VTL,VSI,VSLR,VVUS,VMW,VCRA,VISI,VNO^G,VNO^I,VNO^J,VNO^K,VNO^L,VOYA,IDE,VYGR,VRNG,WTI,WRB^B,GWW,WDR,WGBS,WAGE,WBA
WMT,WRES,WAFD,WAFDW,WASH,WCN,WM,WSBF,WSO,WSO.B,WTS,WNFM,WSTG,WCIC,WEB,WBS^E,WEC,WMK,WCG,WEBK,WFC.WS,WFC^J,WFC^L,WFC^N,WFC^O,WFC^P,WFC^Q,WFC^R,WFC^T,WFC^V,WFC^W,WFE^A,HCN^I,HCN^J,WERN,WSBC,WAIR,WCC,WMAR,WST,WR,WBB,WSTL,EMD,GDF,HIO,MHY,MMU,MHF,MNP,WGP,WES,WNRL,WNR,WFD,WMLP,WEYS,WY^A,WHLR,WHLRP,WHLRW,WTM,WHF,WHFBL,WFM,WHLM,WVVI,WVVIP,WG,WLDN,WMB,WSM,WIBC,WIN,WGO,WTFCM,WTFCW,WTT,WETF,WLRHW,WBKC,WWW,WWD,WDAY,WKHS,WPT,WWE,WOR,WPG^H,WPG^I,WPX,WPXP,WMGIZ,WSFSL,WYNN,XELB,XNCR,XHR,XBKS
XRM,XGTI,XGTIW,XLNX,XOXO,XPO,XTNT,XCOM,MESG,YOD,YCB,YRCW,YUM,YUMA,YUMA^A,YUME,ZFGN,ZAIS,ZAYO,ZLTQ,ZEN,ZHNE,Z,ZG,ZBH,ZNWAA,ZB^A,ZB^F,ZB^G,ZB^H,ZBK,ZIONW,ZIONZ,ZOES,ZGNX,ZF,ZTR
